station_id,administrative_level_1,administrative_level_2,elevation,latitude,longitude,name,status
87129,Santiago del Estero,Capital,199,-27.7548,-64.2998,Santiago del Estero Aero,N
87173,Corrientes,Ituzaingó,72,-27.5856,-56.6772,Ituzaingó,N
87934,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Río Grande,22,-53.7802,-67.7587,Río Grande (BA),N
87593,Buenos Aires,La Plata,19,-34.9661,-57.8961,La Plata Aero,N
87022,Salta,General José de San Martín,450,-22.6166,-63.7965,Tartagal Aero,N
9987010,Santa Fe,General Obligado,42,-29.183,-59.866,Reconquista INTA,N
87418,Mendoza,Las Heras,704,-32.8437,-68.7963,Mendoza Aero,N
87750,Buenos Aires,Bahía Blanca,83,-38.7147,-62.163,Bahía Blanca,N
87679,Buenos Aires,Saavedra,304,-37.6082,-62.3865,Pigüé Aero,N
87828,Chubut,Rawson,43,-43.2089,-65.2821,Trelew Aero,N
87789,Buenos Aires,José B. Casas,26,-40.6633,-62.8858,Chacra Experimental Patagones,N
87719,Río Negro,General Roca,265,-38.9412,-67.9785,Cipolletti,N
87311,San Juan,Capital,598,-31.5746,-68.4224,San Juan Aero,N
87569,Buenos Aires,General Sarmiento,26,-34.5552,-58.7305,San Miguel,N
87575,Buenos Aires,Morón,22,-34.67,-58.65,Castelar INTA,N
87680,Buenos Aires,San German,187,-38.2829,-62.9442,San German,N
87623,La Pampa,Capital,191,-36.5932,-64.28,Santa Rosa Aero,N
87144,Chaco,Nueve de Julio,102,-27.08,-61.12,Las Breñas INTA,N
87050,Salta,Metán,855,-25.5243,-64.973,Metán,N
87454,Mendoza,Luján de Cuyo,921,-33.0049,-68.8699,Chacras de Coria,N
87640,Buenos Aires,Bolívar,94,-36.1864,-61.0727,Bolívar Aero,N
87506,Mendoza,Malargüe,1425,-35.4813,-69.5834,Malargüe Aero,N
87788,Buenos Aires,Villalonga,39,-39.9219,-62.7986,Villalonga,N
87938,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,57,-54.8401,-68.3034,Ushuaia Aero,N
87641,Buenos Aires,Azul,147,-36.832,-59.8864,Azul Aero,N
87163,Misiones,General Manuel Belgrano,815,-26.2779,-53.6713,Bernardo de Irigoyen Aero,N
87152,Formosa,Pirané,78,-26.3,-59.37,El Colorado INTA,N
87162,Formosa,Formosa,60,-26.2124,-58.2293,Formosa Aero,N
87509,Mendoza,San Rafael,748,-34.5908,-68.4017,San Rafael Aero,N
87585,Ciudad Autónoma de Buenos Aires,Distrito Federal,25,-34.5902,-58.484,Buenos Aires,N
87257,Santa Fe,San Cristóbal,88,-29.8756,-61.936,Ceres Aero,N
87468,Santa Fe,General López,113,-33.6823,-61.9614,Venado Tuerto,N
87692,Buenos Aires,General Pueyrredón,21,-37.9321,-57.5815,Mar del Plata Aero,N
87045,Salta,Cerrillos,1250,-24.9,-65.48,Salta INTA,N
9987003,Entre Ríos,Concordia,48,-31.37,-58.12,Concordia INTA,N
87741,Buenos Aires,Villarino,22,-39.38,-62.62,Hilario Ascasubi INTA,N
87648,Buenos Aires,Dolores,9,-36.3169,-57.7169,Dolores Aero,N
9987009,Córdoba,Río Segundo,292,-31.82,-63.77,Manfredi INTA,N
9987015,Córdoba,Unión,125,-33.57,-62.88,Canals INTA,N
87118,Tucumán,Famaillá,363,-27.05,-65.42,Famaillá INTA,N
87823,Chubut,Biedma,136,-42.7555,-65.1015,Puerto Madryn Aero,N
87148,Chaco,Comandante Fernández,93,-26.7464,-60.4868,Pres. Roque Sáenz Peña Aero,N
87065,Salta,Rivadavia,205,-24.1853,-62.8866,Rivadavia,N
87508,Mendoza,San Rafael,692,-34.67,-68.38,Rama Caída INTA,N
87472,Santa Fe,Iriondo,26,-32.55,-60.85,Oliveros INTA,N
87925,Santa Cruz,Güer Aike,19,-51.6116,-69.308,Río Gallegos Aero,N
87624,La Pampa,Capital,165,-36.5,-63.98,Anguil INTA,N
